Objet						Début	Journéeentière	Afficherladisponibilité	Catégories	Priorité	Privé
Ste Anne Joachim Anaïs						26/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jacques le Majeur						25/07/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Christine						24/07/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Brigitte						23/07/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Marie-Madeleine						22/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Victor						21/07/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Marina						20/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Arsène						19/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Frédéric						18/07/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Charlotte Carole Caroline						17/07/2013	VRAI	3	Ephemeride	Normale	FAUX
N.D. du Mt Carmel						16/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Donald						15/07/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Camille - Fête Nationale						14/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Henri Joël Eugène						13/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Olivier						12/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Benoît Olga						11/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Ulrich						10/07/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Amandine Marianne						09/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Thibault Edgar						08/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Raoul						07/07/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Mariette						06/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Antoine						05/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Florent Berthe Eliane						04/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Thomas						03/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Martinien						02/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Thierry						01/07/2013	VRAI	3	Ephemeride	Normale	FAUX
St Martial						30/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Pierre Paul						29/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Irénée						28/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Fernand						27/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Anthelme						26/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Prosper						25/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jean-Baptiste						24/06/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Audrey						23/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Alban						22/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Rodolphe - Eté						21/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Silvère						20/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Romuald						19/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Léonce						18/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Hervé						17/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Jean-François Régis - Fête des Pères						16/06/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Germaine						15/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Elisée						14/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Antoine de Padoue						13/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Guy						12/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Barnabé						11/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Landry						10/06/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Diane Félicien						09/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Médard						08/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Gilbert						07/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Norbert						06/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St lgor						05/06/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Clotilde						04/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Kevin						03/06/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Blandine						02/06/2013	VRAI	3	Ephemeride	Normale	FAUX
St Justin						01/06/2013	VRAI	3	Ephemeride	Normale	FAUX
Visitation						31/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Ferdinand						30/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Aymard						29/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Germain						28/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Augustin de C.						27/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Bérenger - Fête des Mères						26/05/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Sophie						25/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Donatien						24/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Didier						23/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Emile						22/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Constantin						21/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Bernardin - L. de Pentecôte.						20/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Yves Yvonne - Pentecôte						19/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Eric Corinne						18/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Pascal						17/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Honoré						16/05/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Denise						15/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Matthias						14/05/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Rolande						13/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Achille						12/05/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Estelle						11/05/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Solange						10/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Pacôme - Ascension						09/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Désiré - Victoire 1945						08/05/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Gisèle						07/05/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Prudence						06/05/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Judith						05/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Sylvain						04/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Philippe Jacques						03/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Boris						02/05/2013	VRAI	3	Ephemeride	Normale	FAUX
Fête du Travail						01/05/2013	VRAI	3	Ephemeride	Normale	FAUX
St Robert						30/04/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Catherine de Sienne						29/04/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Valérie						28/04/2013	VRAI	3	Ephemeride	Normale	FAUX
Ste Zita						27/04/2013	VRAI	3	Ephemeride	Normale	FAUX
